VIN,Make,Model,Vehicle_Category,Vehicle_Sub_Category,Market_Segment,Sale_Price,Sale_Price_Segment,Customer_Name,Customer_Email,Dealer_Name,Unknown_Dealer_name,Clean_Dealer_Name,Dealer_Region,Fuel_Type,Engine_Size,Unkown_Engine_Size ,Color,Unkown_Color,Mileage,Model_Year,Sales_Date_A,Sales_Date_Month,Quarter,
2T1BURHE0JC054321,Toyota,Corolla,Sedan,Subcompact/Compact Car,Standard,"$24,500.00","Under $25,000",Sarah Johnson,sarah.j@gmail.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,1.8L,1.8L,White,White,8500,2021,202401,Jan,Q1,
KMHCT4AE9CU987654,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Robert Wilson,rwilson@email.com,Hyundai Plus,Hyundai Plus,Hyundai Plus,West,Gasoline,2.4L,2.4L,Black,Black,28000,2019,202402,Feb,Q1,
1HGCV1F36JA123456,Toyota,Corolla,Sedan,Subcompact/Compact Car,Standard,"$22,000.00","Under $25,000",Patricia Martinez,p.martinez@gmail.com,metro honda,metro honda,Metro Honda,Northeast,Gasoline,1.5L,1.5L,Silver,Silver,19000,2021,202403,Mar,Q1,
1HGCV1F36JA123451,Toyota,Corolla,Sedan,Subcompact/Compact Car,Standard,"$22,000.00","Under $25,000",Patricia Martinez,p.martinez@gmail.com,metro honda,metro honda,Metro Honda,Northeast,Gasoline,1.5L,1.5L,Silver,Silver,19000,2021,202403,Mar,Q1,
4T1BF1FK8EU123456,Toyota,Corolla,Sedan,Subcompact/Compact Car,Standard,"$22,000.00","Under $25,000",James Anderson,james.anderson@email.com,Toyota Center,Toyota Center,Toyota Center,West,Hybrid,2.5L,2.5L,Blue,Blue,14000,2022,202403,Mar,Q1,
1FTEW1E50JKF12345,Toyota,Camry,Sedan,Mid/Full-Size Car,Standard,"$28,000.00",$25K-$39.9K,Daniel Harris,d.harris@email.com,Ford Country,Ford Country,Ford Country,Midwest,Gasoline,5.0L,5.0L,Red,Red,21000,2021,202403,Mar,Q1,
4T1BF1FK3EU123461,Toyota,Avalon,Sedan,Full-Size Car,Standard,"$39,500.00",$25K-$39.9K,Philip Martin,p.martin@email.com,toyota center,toyota center,Toyota Center,West,Gasoline,3.5L,3.5L,Black,Black,17000,2021,202407,Jul,Q3,
1C4RJFBG7KC123461,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Gloria Lee,g.lee@gmail.com,jeep nation,jeep nation,Jeep Nation,South,Gasoline,3.6L,3.6L,Orange,Orange,11000,2023,202407,Jul,Q3,
4T1BF1FK4EU123462,Toyota,Sequoia,SUV,Compact SUV,Standard,"$56,900.00",$40K-$59.9K,Martha Anderson,m.anderson@email.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,5.7L,5.7L,Black,Black,28000,2019,202407,Jul,Q3,
1G1ZB5ST3JF123462,Toyota,Corolla,Sedan,Subcompact/Compact Car,Standard,"$22,000.00","Under $25,000",Sandra Harris,s.harris@email.com,Chevy World,Chevy World,Chevy World,Midwest,Gasoline,5.3L,5.3L,Gray,Gray,25000,2020,202407,Jul,Q3,
1HGCV1F43JA123463,Toyota,RAV4,SUV,Mid/Full-Size SUV,Standard,"$32,000.00",$25K-$39.9K,Betty Thompson,b.thompson@email.com,metro honda,metro honda,Metro Honda,Northeast,Gasoline,3.5L,3.5L,Silver,Silver,22000,2021,202408,Aug,Q3,
4T1BF1FK5EU123463,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Kenneth Garcia,k.garcia@email.com,Toyota Center,Toyota Center,Toyota Center,West,Hybrid,2.5L,2.5L,White,White,15000,2022,202408,Aug,Q3,
KM8J3CA52JU123463,Toyota,Mirai,Sedan,Full-Size Car,Standard,"$58,500.00",$40K-$59.9K,Donald Wilson,d.wilson@email.com,Hyundai Plus,Hyundai Plus,Hyundai Plus,West,Hydrogen,,Unknown,Blue,Blue,27000,2019,202408,Aug,Q3,
4T1BF1FK6EU123464,Toyota,FJ Cruiser,SUV,Compact SUV,Standard,"$31,500.00",$25K-$39.9K,Michelle Jackson,m.jackson@gmail.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,4.0L,4.0L,Yellow,Yellow,40000,2017,202408,Aug,Q3,
KM8J3CA53JU123464,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Angela Harris,a.harris@email.com,Hyundai Plus,Hyundai Plus,Hyundai Plus,West,Gasoline,3.8L,3.8L,Black,Black,42000,2017,202408,Aug,Q3,
4T1BF1FK7EU123465,Toyota,Venza,SUV,Compact SUV,Standard,"$35,800.00",$25K-$39.9K,Amy Moore,a.moore@email.com,Toyota Center,Toyota Center,Toyota Center,West,Gasoline,2.7L,2.7L,Silver,Silver,24000,2020,202409,Sep,Q3,
KM8J3CA54JU123465,Toyota,Prius,Hatchback,Hybrid,Eco-Friendly,"$27,000.00",$25K-$39.9K,Nicole Anderson,n.anderson@email.com,hyundai plus,hyundai plus,Hyundai Plus,West,Gasoline,2.4L,2.4L,Blue,Blue,31000,2019,202409,Sep,Q3,
1C4RJFBG9KC123465,Toyota,Highlander,SUV,Mid/Full-Size SUV,Luxury/Performance,"$43,000.00",$40K-$59.9K,Brandon Thomas,b.thomas@email.com,Jeep Nation,Jeep Nation,Jeep Nation,South,Gasoline,2.4L,2.4L,Green,Green,34000,2018,202409,Sep,Q3,
